people marching,0
waterfall burbling,1
playing tennis,2
people belly laughing,3
car engine starting,4
alarm clock ringing,5
"female speech, woman speaking",6
cricket chirping,7
wind noise,8
foghorn,9
people battle cry,10
playing volleyball,11
female singing,12
playing harpsichord,13
"male speech, man speaking",14
playing bassoon,15
playing piano,16
people clapping,17
"bee, wasp, etc. buzzing",18
baby babbling,19
people whispering,20
coyote howling,21
metronome,22
playing harp,23
airplane,24
rope skipping,25
ambulance siren,26
people coughing,27
pheasant crowing,28
bird wings flapping,29
cap gun shooting,30
child singing,31
"race car, auto racing",32
male singing,33
playing bass guitar,34
"playing violin, fiddle",35
playing bongo,36
playing erhu,37
tap dancing,38
playing electronic organ,39
playing congas,40
"subway, metro, underground",41
car passing by,42
orchestra,43
playing acoustic guitar,44
hammering nails,45
duck quacking,46
playing harmonica,47
dog growling,48
church bell ringing,49
playing table tennis,50
skateboarding,51
"playing steel guitar, slide guitar",52
playing squash,53
playing bass drum,54
police radio chatter,55
horse clip-clop,56
horse neighing,57
playing double bass,58
playing cello,59
people booing,60
playing electric guitar,61
raining,62
gibbon howling,63
toilet flushing,64
missile launch,65
driving buses,66
"motorboat, speedboat acceleration",67
playing didgeridoo,68
playing glockenspiel,69
skiing,70
playing oboe,71
arc welding,72
sheep bleating,73
chimpanzee pant-hooting,74
playing cornet,75
lighting firecrackers,76
bowling impact,77
cow lowing,78
planing timber,79
people finger snapping,80
"pigeon, dove cooing",81
fire crackling,82
playing tabla,83
cupboard opening or closing,84
crow cawing,85
"vehicle horn, car horn, honking",86
playing washboard,87
fire truck siren,88
pumping water,89
cat growling,90
beat boxing,91
playing bagpipes,92
playing trumpet,93
woodpecker pecking tree,94
playing banjo,95
people crowd,96
chicken crowing,97
"rowboat, canoe, kayak rowing",98
forging swords,99
footsteps on snow,100
driving motorcycle,101
owl hooting,102
mosquito buzzing,103
air horn,104
"child speech, kid speaking",105
slot machine,106
lions growling,107
playing flute,108
playing synthesizer,109
"railroad car, train wagon",110
car engine knocking,111
playing accordion,112
sharpen knife,113
playing drum kit,114
playing trombone,115
train whistling,116
reversing beeps,117
singing choir,118
chainsawing trees,119
printer printing,120
chicken clucking,121
underwater bubbling,122
people nose blowing,123
ice cracking,124
playing lacrosse,125
playing timpani,126
tapping guitar,127
turkey gobbling,128
door slamming,129
playing saxophone,130
playing french horn,131
sea waves,132
playing clarinet,133
using sewing machines,134
vacuum cleaner cleaning floors,135
playing castanets,136
pig oinking,137
lawn mowing,138
basketball bounce,139
eletric blender running,140
thunder,141
dog whimpering,142
car engine idling,143
people sobbing,144
playing theremin,145
fox barking,146
playing ukulele,147
parrot talking,148
playing cymbal,149
people shuffling,150
people eating noodle,151
playing steelpan,152
people farting,153
running electric fan,154
mouse clicking,155
"ice cream truck, ice cream van",156
chopping food,157
lathe spinning,158
playing tympani,159
canary calling,160
helicopter,161
playing sitar,162
people screaming,163
baby crying,164
cell phone buzzing,165
train horning,166
"donkey, ass braying",167
striking pool,168
cat meowing,169
tractor digging,170
playing hammond organ,171
mouse pattering,172
people hiccup,173
air conditioning noise,174
playing snare drum,175
penguins braying,176
playing hockey,177
wood thrush calling,178
stream burbling,179
"playing marimba, xylophone",180
baby laughter,181
playing tambourine,182
singing bowl,183
"engine accelerating, revving, vroom",184
yodelling,185
machine gun shooting,186
electric grinder grinding,187
swimming,188
"electric shaver, electric razor shaving",189
people babbling,190
police car (siren),191
opening or closing car doors,192
fireworks banging,193
people giggling,194
playing djembe,195
baltimore oriole calling,196
sliding door,197
typing on computer keyboard,198
people running,199
hail,200
driving snowmobile,201
sailing,202
civil defense siren,203
plastic bottle crushing,204
elephant trumpeting,205
goose honking,206
eating with cutlery,207
dog bow-wow,208
"cattle, bovinae cowbell",209
people eating crisps,210
skidding,211
dog barking,212
squishing water,213
roller coaster running,214
smoke detector beeping,215
ocean burbling,216
airplane flyby,217
firing cannon,218
ripping paper,219
"alligators, crocodiles hissing",220
cuckoo bird calling,221
people cheering,222
people sniggering,223
playing badminton,224
frog croaking,225
people burping,226
golf driving,227
people sneezing,228
mynah bird singing,229
splashing water,230
cattle mooing,231
rapping,232
cat purring,233
magpie calling,234
strike lighter,235
people eating,236
francolin calling,237
bird squawking,238
playing vibraphone,239
playing mandolin,240
lip smacking,241
zebra braying,242
disc scratching,243
popping popcorn,244
cat caterwauling,245
ferret dooking,246
wind rustling leaves,247
elk bugling,248
barn swallow calling,249
volcano explosion,250
"heart sounds, heartbeat",251
firing muskets,252
mouse squeaking,253
playing timbales,254
people slapping,255
telephone bell ringing,256
playing shofar,257
opening or closing drawers,258
chinchilla barking,259
people whistling,260
spraying water,261
playing tuning fork,262
train wheels squealing,263
"bird chirping, tweeting",264
tornado roaring,265
writing on blackboard with chalk,266
extending ladders,267
scuba diving,268
typing on typewriter,269
dog howling,270
people slurping,271
snake rattling,272
wind chime,273
cheetah chirrup,274
children shouting,275
playing gong,276
people humming,277
snake hissing,278
cat hissing,279
people gargling,280
blowtorch igniting,281
playing bugle,282
dinosaurs bellowing,283
chipmunk chirping,284
playing zither,285
playing darts,286
chopping wood,287
shot football,288
sea lion barking,289
dog baying,290
sloshing water,291
black capped chickadee calling,292
lions roaring,293
playing guiro,294
striking bowling,295
bouncing on trampoline,296
eagle screaming,297
hedge trimmer running,298
bathroom ventilation fan running,299
hair dryer drying,300
cutting hair with electric trimmers,301
people eating apple,302
"fly, housefly buzzing",303
bull bellowing,304
otter growling,305
opening or closing car electric windows,306
warbler chirping,307
goat bleating,308
whale calling,309
